Time,Mean_Speed_30_Turbine35,Power_Turbine35,Mean_Speed_30_Turbine37,Power_Turbine37,Mean_Speed_30_Turbine38,Power_Turbine38,Mean_Speed_30_Turbine39,Power_Turbine39,Mean_Speed_30_Turbine40,Power_Turbine40,Mean_Speed_30_Turbine41,Power_Turbine41,Mean_Speed_30_Turbine42,Power_Turbine42,Mean_Speed_30_Turbine43,Power_Turbine43,Mean_Speed_30_Turbine44,Power_Turbine44,Mean_Speed_30_Turbine45,Power_Turbine45,Mean_Speed_30_Turbine46,Power_Turbine46,Mean_Speed_30_Turbine47,Power_Turbine47,Mean_Speed_30_Turbine48,Power_Turbine48,Mean_Speed_30_Turbine49,Power_Turbine49,Mean_Speed_30_Turbine50,Power_Turbine50,Mean_Speed_30_Turbine51,Power_Turbine51,Mean_Speed_30_Turbine52,Power_Turbine52,Mean_Speed_30_Turbine54,Power_Turbine54,Mean_Speed_30_Turbine55,Power_Turbine55,Mean_Speed_30_Turbine56,Power_Turbine56,Mean_Speed_30_Turbine57,Power_Turbine57,Mean_Speed_30_Turbine58,Power_Turbine58,Mean_Speed_30_Turbine59,Power_Turbine59,Mean_Speed_30_Turbine60,Power_Turbine60
 2019-01-02 19:30:00,18.66,-8.333333333,8.396666667,1465.333333,6.278333333,801,7.286666667,1185.166667,7.41,1275.333333,7.56,1267.833333,8.118333333,1547,8.16,1563.833333,8.645,1632.5,7.563333333,1151.166667,6.743333333,1250.333333,8.428333333,1735.833333,7.733333333,1378,8.023333333,1529.5,7.896666667,1628.666667,7.715,1444,8.145,1419.166667,7.761666667,1272.333333,7.395,1330.833333,8.31,1496.166667,7.64,1270.333333,7.346666667,1244.666667,6.955,1042.5,7.536666667,1229.333333
 2019-01-02 20:30:00,18.13666667,-9.5,7.128333333,1140.333333,6.878333333,805.6666667,6.961666667,997.6666667,6.868333333,997.8333333,6.82,845.8333333,7.375,1067.166667,7.566666667,1255.833333,7.543333333,1104.333333,6.835,916.3333333,6.378333333,932.3333333,7.806666667,1081.333333,7.013333333,1080.5,6.828333333,986.8333333,6.996666667,916.3333333,7.098333333,1036,7.621666667,1037.5,6.848333333,803.1666667,7.066666667,1172.5,7.27,1113.5,6.88,910.6666667,7.18,948.3333333,6.965,872.1666667,6.913333333,1095.5
 2019-01-02 21:30:00,17.26,-6,6.366666667,810.5,6.408333333,657.3333333,6.521666667,783.3333333,6.586666667,796.6666667,6.018333333,593.5,6.971666667,716,6.588333333,793.8333333,6.513333333,733.3333333,6.911666667,742.1666667,5.798333333,683.6666667,6.756666667,651.8333333,6.315,675.5,6.258333333,668.8333333,6.701666667,674.3333333,6.773333333,751.6666667,7.028333333,709.5,6.485,656.5,6.678333333,793.1666667,6.396666667,660.6666667,6.261666667,610.5,6.291666667,662.6666667,6.575,636,6.566666667,750.1666667
 2019-01-02 22:30:00,18.25,-6,6.398333333,668.3333333,6.158333333,557.1666667,6.273333333,669,6.048333333,619,6.138333333,612.3333333,6.753333333,750.3333333,6.615,862.6666667,6.623333333,828,6.958333333,843,6.183333333,799.3333333,6.736666667,769.6666667,6.08,396.8333333,6.676666667,836.5,6.68,784.1666667,6.583333333,791.6666667,7.405,910.6666667,6.371666667,750.6666667,5.453333333,471.8333333,5.581666667,463.1666667,5.9,328,5.878333333,312.5,5.895,477.5,5.743333333,512.6666667
 2019-01-02 23:30:00,18.26,-6,6.085,515.3333333,5.398333333,358.6666667,5.565,467.6666667,5.686666667,490.8333333,6.136666667,276.5,6.405,547,6.128333333,546.1666667,5.778333333,447.3333333,5.801666667,431.8333333,5.506666667,439.6666667,6.388333333,425.8333333,5.85,106.6666667,6.043333333,489.6666667,5.593333333,402.8333333,5.685,422.5,6.161666667,499.5,6.1,461.1666667,5.8,452.3333333,6.013333333,519.6666667,5.598333333,124.3333333,5.546666667,119,5.745,387,5.326666667,398.1666667
 2019-01-03 00:30:00,19.13666667,-6,6.596666667,877.8333333,6.285,642.8333333,6.666666667,830,6.415,796.1666667,7.445,436.1666667,7.1,799.3333333,7.191666667,933.5,6.99,854.5,6.331666667,612.3333333,5.713333333,648.5,7.245,894,7.025,788,6.758333333,844,6.435,770.8333333,6.425,722.5,6.895,721.6666667,6.39,638.5,6.473333333,740.1666667,6.398333333,729.5,6.475,689,6.288333333,560.6666667,6.245,582.3333333,6.448333333,655.5
 2019-01-03 01:30:00,20.28166667,-12,6.841666667,824.8333333,6.568333333,701.6666667,6.426666667,755.1666667,6.548333333,769.3333333,6.541666667,728.3333333,7.031666667,856.8333333,7.115,1019.166667,6.89,828.8333333,6.851666667,804.5,6.801666667,1025.833333,7.788333333,1106.166667,6.56,757.3333333,7.18,922.6666667,6.561666667,774.8333333,6.261666667,596,7.401666667,971.6666667,6.54,761.6666667,5.833333333,610.1666667,6.5,706.8333333,6.425,719.3333333,6.363333333,633.1666667,6.496666667,752.8333333,6.025,553.8333333
 2019-01-03 02:30:00,20.34333333,-6.166666667,7.103333333,788.1666667,6.515,688,6.06,653,6.34,715.1666667,7.253333333,828.6666667,7.215,841.5,6.665,716.3333333,6.53,717.8333333,6.855,728,6.213333333,792,7.28,871,6.518333333,558.8333333,6.951666667,846.1666667,6.458333333,682.5,6.371666667,742.6666667,7.448333333,852.3333333,6.761666667,677.1666667,5.933333333,618,6.878333333,755.6666667,6.556666667,714,5.843333333,600.1666667,6.57,762.6666667,6.098333333,668.8333333
 2019-01-03 03:30:00,19.755,-6,6.756666667,917.8333333,6.633333333,650,6.356666667,749.6666667,6.426666667,712.5,6.89,854.8333333,7.421666667,897.1666667,6.723333333,845.5,7.113333333,761,6.753333333,738.3333333,6.18,775.5,7.7,979.3333333,6.223333333,-8.333333333,6.668333333,827.6666667,6.678333333,818.3333333,6.688333333,759.1666667,7.14,806.5,6.741666667,823.1666667,6.403333333,694.1666667,6.448333333,732.8333333,6.555,700.3333333,5.98,334.1666667,6.398333333,607.1666667,6.01,593
 2019-01-03 04:30:00,19.695,-6,7.018333333,812,6.611666667,645,5.986666667,584.5,6.313333333,672,6.586666667,693.3333333,7.166666667,806.6666667,7.228333333,910.8333333,6.941666667,761.5,7.081666667,757.5,6.313333333,841.1666667,7.15,847.6666667,5.62,-8.166666667,6.976666667,802.5,6.223333333,698,6.323333333,698.5,7.23,827.3333333,6.758333333,785.8333333,6.046666667,598.6666667,6.151666667,602.3333333,6.333333333,656.3333333,5.521666667,-8.666666667,6.468333333,609.3333333,5.391666667,407.5
